throughput,p95_ttft,p95_tbt,lambda,workload
0.49599803155038014,0.7695999999959895,0.03999999999996362,0.5,heavy
0.9916996977123698,0.769625301194378,0.03999999999996362,1.0,heavy
1.4879097517587967,0.8391937926234617,0.07999999999992724,1.5,heavy
1.9834792999559312,0.8880000000004884,0.08299999999996999,2.0,heavy
2.478597685720727,0.9312204665709487,0.08749999999986358,2.5,heavy
2.9785627449169416,0.9645360340639342,0.08719999999993888,3.0,heavy
3.4712961402778317,1.1636884377923957,0.0949999999999136,3.5,heavy
3.9674014633570054,1.4659522358541914,0.0985999999999649,4.0,heavy
4.450730803194279,1.4284065144580147,0.13679999999988013,4.5,heavy
4.947742694802509,1.829860367289559,0.13919999999998822,5.0,heavy
5.458540188835871,2.0342953897401514,0.1395000000000124,5.5,heavy
5.936485009666366,2.3100413231480843,0.25310000000001764,6.0,heavy
6.395706429369865,2.339795085718516,0.7224399999998605,6.5,heavy
6.919989498466805,2.6179403666497745,0.23330000000004247,7.0,heavy
7.335454117033003,3.1124231146195482,0.9399999999996567,7.5,heavy
6.81264323073413,6.800664556644849,3.4709000000002277,8.0,heavy
