throughput,p95_ttft,p95_tbt,lambda,workload
0.49599434946724047,0.9415060481512683,0.03999999999996362,0.5,short
0.9919712936191764,1.6369987405959812,0.03999999999996362,1.0,short
1.9781733364142657,4.0884818658278785,0.040000000000020464,2.0,short
2.5725246906941592,183.69917215566625,0.040000000000020464,3.0,short
2.58101153382227,452.0144088716086,0.040000000000020464,4.0,short
2.5053319913703427,771.9655130646013,0.040000000000020464,6.0,short
2.3813558003730986,974.939219794861,0.040000000000020464,8.0,short
2.4533150521641347,1029.6997326278029,0.040000000000020464,10.0,short
2.4225241113044844,1164.1297317516674,0.040000000000020464,15.0,short
2.354192497476143,1250.6737769175725,0.040000000000020464,20.0,short
2.3785299222376994,1269.2845135339728,0.040000000000020464,25.0,short
2.350810876049551,1311.6924946115116,0.040000000000020464,30.0,short
2.318914991157986,1347.413941809775,0.040000000000020464,35.0,short
2.341769925004703,1341.8964309584762,0.040000000000020464,40.0,short
2.3754112583711486,1327.699708074179,0.040000000000020464,45.0,short
2.3585749668196483,1349.028666766676,0.040000000000020464,50.0,short
2.3648958677927534,1357.860622515103,0.040000000000020464,55.0,short
