throughput,p95_ttft,p95_tbt,lambda,workload
0.4960080319317868,0.9280000000021573,0.03999999999996362,0.5,heavy
0.9919261438080439,1.3609027911861737,0.03999999999996362,1.0,heavy
1.4878139274881368,2.0600861750101993,0.040000000000020464,1.5,heavy
1.983920601953101,4.056953757437041,0.040000000000020464,2.0,heavy
2.4709117872303583,15.404215632954392,0.040000000000020464,2.5,heavy
2.6745366431644917,128.9584000042901,0.040000000000020464,3.0,heavy
2.6791239573417718,282.88741162425623,0.040000000000020464,3.5,heavy
2.5888751882459826,442.6453471178934,0.040000000000020464,4.0,heavy
2.5896487374674533,541.94058361837,0.040000000000020464,4.5,heavy
2.517544008875435,640.9377031543121,0.040000000000020464,5.0,heavy
2.5079883238203764,715.0202900205165,0.040000000000020464,5.5,heavy
2.4462615571100486,810.2884031180112,0.040000000000020464,6.0,heavy
2.4567968072469464,844.6418513507602,0.040000000000020464,6.5,heavy
2.515731322677258,846.8323678703053,0.040000000000020464,7.0,heavy
2.5015153893870923,885.7151384479506,0.040000000000020464,7.5,heavy
2.4110990065657845,969.6484593332619,0.040000000000020464,8.0,heavy
